Date,Price
02/01/2024,2.699
03/01/2024,2.684
04/01/2024,2.663
05/01/2024,2.656
08/01/2024,2.651
09/01/2024,2.674
10/01/2024,2.674
11/01/2024,2.677
12/01/2024,2.682
15/01/2024,2.684
16/01/2024,2.694
17/01/2024,2.658
18/01/2024,2.653
19/01/2024,2.673
22/01/2024,2.689
23/01/2024,2.694
24/01/2024,2.702
25/01/2024,2.711
26/01/2024,2.712
29/01/2024,2.728
30/01/2024,2.746
31/01/2024,2.742
01/02/2024,2.717
02/02/2024,2.728
05/02/2024,2.779
06/02/2024,2.771
07/02/2024,2.772
08/02/2024,2.786
09/02/2024,2.781
12/02/2024,2.8
13/02/2024,2.786
14/02/2024,2.784
15/02/2024,2.806
16/02/2024,2.823
19/02/2024,2.808
20/02/2024,2.814
21/02/2024,2.802
22/02/2024,2.801
23/02/2024,2.836
26/02/2024,2.834
27/02/2024,2.83
28/02/2024,2.835
29/02/2024,2.83
01/03/2024,2.85
04/03/2024,2.861
05/03/2024,2.855
06/03/2024,2.832
07/03/2024,2.836
08/03/2024,2.853
11/03/2024,2.83
12/03/2024,2.845
13/03/2024,2.862
14/03/2024,2.864
15/03/2024,2.858
18/03/2024,2.85
19/03/2024,2.865
20/03/2024,2.88
21/03/2024,2.897
22/03/2024,2.933
25/03/2024,2.915
26/03/2024,2.917
27/03/2024,2.921
28/03/2024,2.93
02/04/2024,2.944
03/04/2024,2.922
04/04/2024,2.916
05/04/2024,2.891
08/04/2024,2.915
09/04/2024,2.909
10/04/2024,2.911
11/04/2024,2.909
12/04/2024,2.942
15/04/2024,2.898
16/04/2024,2.864
17/04/2024,2.864
18/04/2024,2.852
19/04/2024,2.84
22/04/2024,2.866
23/04/2024,2.88
24/04/2024,2.899
25/04/2024,2.868
26/04/2024,2.866
29/04/2024,2.887
30/04/2024,2.892
01/05/2024,2.859
02/05/2024,2.861
03/05/2024,2.877
07/05/2024,2.938
08/05/2024,2.938
09/05/2024,2.938
10/05/2024,2.961
13/05/2024,2.958
14/05/2024,2.949
15/05/2024,2.956
16/05/2024,2.975
17/05/2024,2.972
20/05/2024,2.971
21/05/2024,2.963
22/05/2024,2.969
23/05/2024,2.953
24/05/2024,2.936
28/05/2024,2.944
29/05/2024,2.932
30/05/2024,2.917
31/05/2024,2.915
03/06/2024,2.943
04/06/2024,2.921
05/06/2024,2.935
06/06/2024,2.963
07/06/2024,2.954
10/06/2024,2.962
11/06/2024,2.955
12/06/2024,2.956
13/06/2024,2.97
14/06/2024,2.977
17/06/2024,2.983
18/06/2024,2.999
19/06/2024,3.006
20/06/2024,3.007
21/06/2024,3.008
24/06/2024,3.001
25/06/2024,3
26/06/2024,3.013
27/06/2024,3.013
28/06/2024,3.019
01/07/2024,3.009
02/07/2024,3.009
03/07/2024,3.031
04/07/2024,3.033
05/07/2024,3.027
08/07/2024,3.029
09/07/2024,3.032
10/07/2024,3.035
11/07/2024,3.045
12/07/2024,3.017
15/07/2024,3.031
16/07/2024,3.033
17/07/2024,3.032
18/07/2024,3.011
19/07/2024,2.997
22/07/2024,2.986
23/07/2024,3.013
24/07/2024,3.001
25/07/2024,2.95
26/07/2024,2.945
29/07/2024,2.986
30/07/2024,2.976
31/07/2024,2.983
01/08/2024,3.023
02/08/2024,2.98
05/08/2024,2.853
06/08/2024,2.875
07/08/2024,2.903
08/08/2024,2.886
09/08/2024,2.93
12/08/2024,2.938
13/08/2024,2.94
14/08/2024,2.968
15/08/2024,2.974
16/08/2024,3.009
19/08/2024,3.01
20/08/2024,3.021
21/08/2024,3.011
22/08/2024,3.006
23/08/2024,2.99
27/08/2024,2.99
28/08/2024,2.999
29/08/2024,2.989
30/08/2024,2.999
02/09/2024,3.019
03/09/2024,3.026
04/09/2024,2.968
05/09/2024,2.948
06/09/2024,2.944
09/09/2024,2.921
10/09/2024,2.944
11/09/2024,2.946
12/09/2024,2.985
13/09/2024,2.996
16/09/2024,2.992
17/09/2024,2.994
18/09/2024,2.99
19/09/2024,3.016
20/09/2024,3.014
23/09/2024,3.004
24/09/2024,3.005
25/09/2024,3.011
26/09/2024,3.023
27/09/2024,3.041
30/09/2024,3.032
01/10/2024,3.047
02/10/2024,3.042
03/10/2024,3.07
04/10/2024,3.056
07/10/2024,3.1
08/10/2024,3.057
09/10/2024,3.078
10/10/2024,3.099
11/10/2024,3.099
14/10/2024,3.113
15/10/2024,3.12
16/10/2024,3.114
17/10/2024,3.13
18/10/2024,3.122
21/10/2024,3.132
22/10/2024,3.127
23/10/2024,3.123
24/10/2024,3.108
25/10/2024,3.104
28/10/2024,3.1
29/10/2024,3.114
30/10/2024,3.118
31/10/2024,3.106
01/11/2024,3.079
04/11/2024,3.082
05/11/2024,3.071
06/11/2024,3.166
07/11/2024,3.172
08/11/2024,3.169
11/11/2024,3.196
12/11/2024,3.193
13/11/2024,3.197
14/11/2024,3.216
15/11/2024,3.198
18/11/2024,3.179
19/11/2024,3.193
20/11/2024,3.195
21/11/2024,3.197
22/11/2024,3.243
25/11/2024,3.247
26/11/2024,3.246
27/11/2024,3.252
28/11/2024,3.232
29/11/2024,3.227
02/12/2024,3.248
03/12/2024,3.274
04/12/2024,3.269
05/12/2024,3.27
06/12/2024,3.26
09/12/2024,3.269
10/12/2024,3.258
11/12/2024,3.246
12/12/2024,3.268
13/12/2024,3.273
16/12/2024,3.261
17/12/2024,3.257
18/12/2024,3.247
19/12/2024,3.178
20/12/2024,3.194
23/12/2024,3.223
24/12/2024,3.238
27/12/2024,3.263
30/12/2024,3.228
31/12/2024,3.216
02/01/2025,3.23
03/01/2025,3.235
06/01/2025,3.237
07/01/2025,3.253
08/01/2025,3.266
09/01/2025,3.284
10/01/2025,3.277
14/01/2025,3.274
15/01/2025,3.261
16/01/2025,3.321
17/01/2025,3.325
20/01/2025,3.351
21/01/2025,3.347
22/01/2025,3.347
23/01/2025,3.368
24/01/2025,3.357
27/01/2025,3.277
28/01/2025,3.317
29/01/2025,3.343
30/01/2025,3.335
31/01/2025,3.353
03/02/2025,3.341
04/02/2025,3.316
05/02/2025,3.315
06/02/2025,3.353
07/02/2025,3.362
10/02/2025,3.352
11/02/2025,3.372
12/02/2025,3.353
13/02/2025,3.349
14/02/2025,3.356
17/02/2025,3.359
18/02/2025,3.358
19/02/2025,3.363
20/02/2025,3.358
21/02/2025,3.346
24/02/2025,3.307
25/02/2025,3.287
26/02/2025,3.288
27/02/2025,3.277
28/02/2025,3.243
03/03/2025,3.27
04/03/2025,3.212
05/03/2025,3.18
06/03/2025,3.204
07/03/2025,3.149
10/03/2025,3.152
11/03/2025,3.089
12/03/2025,3.073
13/03/2025,3.08
14/03/2025,3.058
17/03/2025,3.103
18/03/2025,3.132
19/03/2025,3.111
20/03/2025,3.125
21/03/2025,3.122
24/03/2025,3.124
25/03/2025,3.162
26/03/2025,3.175
27/03/2025,3.136
28/03/2025,3.125
31/03/2025,3.057
01/04/2025,3.086
02/04/2025,3.08
03/04/2025,2.979
04/04/2025,2.887
07/04/2025,2.769
08/04/2025,2.833
09/04/2025,2.776
10/04/2025,2.942
11/04/2025,2.88
14/04/2025,2.897
15/04/2025,2.922
16/04/2025,2.905
17/04/2025,2.884
22/04/2025,2.823
23/04/2025,2.943
24/04/2025,2.925
25/04/2025,2.965
28/04/2025,2.98
29/04/2025,2.977
30/04/2025,3
01/05/2025,3.004
02/05/2025,3.046
06/05/2025,3.051
07/05/2025,3.038
08/05/2025,3.058
09/05/2025,3.075
12/05/2025,3.17
13/05/2025,3.154
14/05/2025,3.149
15/05/2025,3.166
16/05/2025,3.181
19/05/2025,3.171
20/05/2025,3.186
21/05/2025,3.174
